distance to tss	transcript id	gene id	transcript name	chromosome	start	end	strand	feature type	transcript biotype
368	enst00000642324	sg00000182077	ptchd3-201	10	27397121	27414368	-	mRNA	polymorphic_pseudogene
-35138	enst00000427062	sg00000237956	triap1p1-201	10	27378138	27378362	-	pseudogenic_transcript	processed_pseudogene
-63210	enst00000445714	sg00000213770	fam210cp-201	10	27349717	27350290	-	pseudogenic_transcript	processed_pseudogene
-70064	enst00000568270	sg00000260151	linc02673-201	10	27343436	27344917	+	lnc_RNA	lncrna
-72248	enst00000422707	sg00000215409	al355493.1-201	10	27331357	27341252	-	pseudogenic_transcript	unprocessed_pseudogene
-77893	enst00000384406	sg00000207135	rnu6-452p-201	10	27335501	27335607	-	snRNA	snrna
90174	enst00000535776	sg00000099246	rab18-207	10	27504174	27542237	+	mRNA	protein_coding
90174	enst00000611151	sg00000099246	rab18-208	10	27504174	27542237	+	mRNA	protein_coding
90299	enst00000490236	sg00000099246	rab18-206	10	27504299	27510490	+	lnc_RNA	retained_intron
90304	enst00000356940	sg00000099246	rab18-201	10	27504304	27542239	+	mRNA	protein_coding
90328	enst00000375802	sg00000099246	rab18-202	10	27504328	27538140	+	mRNA	protein_coding
90370	enst00000621805	sg00000099246	rab18-209	10	27504370	27542237	+	mRNA	protein_coding
90377	enst00000465772	sg00000099246	rab18-204	10	27504377	27538489	+	lnc_RNA	processed_transcript
90394	enst00000484281	sg00000099246	rab18-205	10	27504394	27514217	+	lnc_RNA	processed_transcript
90619	enst00000423465	sg00000099246	rab18-203	10	27504619	27537966	+	mRNA	protein_coding
-98380	enst00000363499	sg00000200369	rnu6-666p-201	10	27315120	27315226	+	snRNA	snrna
-99777	enst00000618530	sg00000278830	al355493.3-201	10	27313723	27316587	+	pseudogenic_transcript	unprocessed_pseudogene
